Subject	Alter	Group	Block	Blocktype	congruency[Block]	correctRESP[Block]	lstBlockOrder	lstCheckInstructions	practice1	practice2	Procedure[Block]	Running[Block]	stimulus[Block]	stimulus.ACC	stimulus.CRESP	stimulus.RESP	stimulus.RT	stimulus1.ACC	stimulus1.CRESP	stimulus1.RESP	stimulus1.RT	stimulus2.ACC[Block]	stimulus2.CRESP[Block]	stimulus2.RESP[Block]	stimulus2.RT[Block]	target[Block]	Trial	congruency[Trial]	correctRESP[Trial]	lstcong20	lstcong80	lstMain	Procedure[Trial]	Running[Trial]	stimulus[Trial]	stimulus2.ACC[Trial]	stimulus2.CRESP[Trial]	stimulus2.RESP[Trial]	stimulus2.RT[Trial]	target[Trial]
1	20	1	1			{-h}		2			CheckInstr	lstCheckInstructions	N2.jpg					1	{-h}	{-h}	791					2														
1	20	1	2			{-g}		1			CheckInstr	lstCheckInstructions	N1.jpg					1	{-g}	{-g}	486					1														
1	20	1	3			{-h}			2		ProcPractice1	practice1	N2.jpg	1	{-h}	{-h}	487									2														
1	20	1	4			{-g}			1		ProcPractice1	practice1	N1.jpg	1	{-g}	{-g}	454									1														
1	20	1	5			{-g}			1		ProcPractice1	practice1	N1.jpg	1	{-g}	{-g}	429									1														
1	20	1	6			{-h}			2		ProcPractice1	practice1	N2.jpg	1	{-h}	{-h}	350									2														
1	20	1	7			{-g}			1		ProcPractice1	practice1	N1.jpg	1	{-g}	{-g}	384									1														
1	20	1	8			{-h}			2		ProcPractice1	practice1	N2.jpg	1	{-h}	{-h}	377									2														
1	20	1	9			{-h}			2		ProcPractice1	practice1	N2.jpg	1	{-h}	{-h}	464									2														
1	20	1	10			{-g}			1		ProcPractice1	practice1	N1.jpg	1	{-g}	{-g}	378									1														
1	20	1	11			{-h}			2		ProcPractice1	practice1	N2.jpg	1	{-h}	{-h}	321									2														
1	20	1	12			{-g}			1		ProcPractice1	practice1	N1.jpg	1	{-g}	{-g}	349									1														
1	20	1	13		incong	{-g}				3	ProcPractice2	practice2	human_movM_cueI_cor_vert.jpg									1	{-g}	{-g}	664	1														
1	20	1	14		cong	{-h}				2	ProcPractice2	practice2	human_movM_cueM_cor_vert.jpg									0	{-h}	{-g}	426	2														
1	20	1	15		incong	{-g}				3	ProcPractice2	practice2	human_movM_cueI_cor_vert.jpg									1	{-g}	{-g}	411	1														
1	20	1	16		cong	{-g}				1	ProcPractice2	practice2	human_movI_cueI_cor_vert.jpg									1	{-g}	{-g}	442	1														
1	20	1	17		incong	{-h}				4	ProcPractice2	practice2	human_movI_cueM_cor_vert.jpg									1	{-h}	{-h}	479	2														
